0.068861,0.603634,Bart
0.036564,0.663399,Bart
0.053806,0.632869,Bart
0.096551,0.462141,Bart
0.000000,0.704178,Bart
0.000000,0.695249,Bart
0.043490,0.579816,Bart
0.058296,0.594746,Bart
0.078886,0.515173,Bart
0.050049,0.376652,Bart
0.195454,0.396955,Bart
0.118873,0.452814,Bart
0.057388,0.567769,Bart
0.051262,0.552856,Bart
0.046582,0.673078,Bart
0.007217,0.415941,Bart
0.171644,0.373430,Bart
0.000000,0.727785,Bart
0.020873,0.687004,Bart
0.000000,0.565512,Bart
0.082565,0.535997,Bart
0.000000,0.575232,Bart
0.083758,0.494662,Bart
0.060858,0.563981,Bart
0.020542,0.622663,Bart
0.063113,0.619929,Bart
0.083480,0.498305,Bart
0.000000,0.540415,Bart
0.099285,0.454793,Bart
0.000000,0.602995,Bart
0.000000,0.531059,Bart
0.053562,0.625889,Bart
0.076310,0.632957,Bart
0.000000,0.474578,Bart
0.000000,0.437390,Bart
0.034515,0.618982,Bart
0.000000,0.584025,Bart
0.013334,0.534145,Bart
0.030170,0.473709,Bart
0.101545,0.543646,Bart
0.000000,0.325103,Bart
0.044426,0.676685,Bart
0.086672,0.631277,Bart
0.081136,0.525472,Bart
0.062424,0.462286,Bart
0.000000,0.538814,Bart
0.000000,0.718447,Bart
0.000009,0.550366,Bart
0.000000,0.437390,Bart
0.000000,0.659870,Bart
0.024932,0.636416,Bart
0.000000,0.646341,Bart
0.083862,0.456667,Bart
0.000000,0.125144,Bart
0.000647,0.343170,Bart
0.000000,0.341311,Bart
0.000000,0.392091,Bart
0.101545,0.543646,Bart
0.119016,0.541531,Bart
0.024231,0.548441,Bart
0.000000,0.595314,Bart
0.000000,0.518275,Bart
0.000000,0.503381,Bart
0.129648,0.586406,Bart
0.036958,0.655825,Bart
0.001781,0.744966,Bart
0.041586,0.689883,Bart
0.005407,0.485802,Bart
0.072861,0.592923,Bart
0.121242,0.453847,Bart
0.080905,0.522160,Bart
0.020188,0.518648,Bart
0.084743,0.593147,Bart
0.000000,0.527816,Bart
0.034608,0.490649,Bart
0.104294,0.368596,Bart
0.000000,0.588018,Bart
0.042457,0.532287,Bart
0.082290,0.511439,Bart
0.000000,0.573370,Bart
